FID,grid_code,Slope_1,Hibriten_D,NLCD_2011_
1232,1676.3800049,53.1950989,1535.7299805,43
1233,1682.9699707,53.9528008,1538.7399902,43
1234,1691.4699707,51.8642006,1541.7500000,43
1235,1627.6800537,52.5648994,1494.7099609,43
1236,1632.6500244,52.9774017,1491.4899902,43
1237,1626.5200195,53.3835983,1488.0999756,43
1238,1628.0500488,53.9303017,1484.6899414,43
1239,1623.6999512,54.7971001,1479.7199707,43
1240,1606.2299805,54.3432007,1476.1300049,43
1241,1595.6899414,61.3056984,1471.4100342,43
1242,1617.6500244,64.0698013,1465.6300049,43
1243,1605.6800537,61.3811989,1462.6300049,43
1244,1604.1400146,47.2667999,1457.8199463,43
1245,1611.0400391,39.9723015,1455.4599609,43
1246,1608.8000488,34.7596016,1454.7399902,43
1247,1609.7099609,44.0477982,1456.1800537,43
1248,1612.8499756,55.0289001,1460.2600098,43
1249,1611.7900391,55.3699989,1465.1300049,43
1250,1607.3199463,46.8235016,1468.9100342,43
1251,1620.6700439,52.1302986,1470.5999756,43
1252,1625.5500488,56.5363998,1474.9100342,43
1253,1618.6099854,56.7019005,1479.9300537,43
1254,1632.5799561,46.8357010,1483.8499756,43
1255,1620.0200195,45.9660988,1486.7399902,43
1256,1621.4300537,46.3334007,1490.0500488,43
1257,1631.8900146,41.3219986,1492.8499756,43
1258,1642.1899414,40.2915001,1494.9799805,43
1259,1635.5999756,39.3829994,1496.9100342,43
1260,1633.9799805,41.5592003,1496.5300293,43
1261,1647.9000244,43.4435005,1497.6099854,43
1262,1656.3499756,44.5745010,1499.0100098,43
1263,1647.4300537,43.0452995,1500.0999756,43
1264,1649.4699707,42.7813988,1500.7399902,43
1265,1633.2199707,46.9639015,1501.4699707,43
1266,1638.7199707,47.6815987,1501.9799805,43
1267,1641.6999512,48.2089996,1502.0699463,43
1268,1645.3800049,50.0042000,1502.2299805,43
1269,1636.9499512,50.8390007,1502.4499512,43
1270,1634.3000488,51.4627991,1502.7900391,43
1271,1634.4899902,49.7346001,1503.0000000,43
1272,1639.0300293,47.4580002,1503.5600586,43
1273,1640.8100586,45.7687988,1503.7900391,43
1274,1639.4300537,46.4501991,1503.6500244,43
1275,1647.1300049,45.5143013,1503.5100098,43
1276,1644.8199463,44.5519981,1503.5999756,43
1277,1631.3800049,49.8036995,1504.4499512,43
1278,1645.8900146,53.1393013,1506.1700439,43
1279,1652.7800293,56.4552002,1508.3900146,43
1280,1641.4300537,56.2871017,1510.5999756,43
1281,1642.8499756,51.2471008,1513.5999756,43
1282,1658.8499756,46.6034012,1513.6800537,43
1283,1661.9799805,48.9911003,1514.5899658,43
1284,1659.2099609,51.4221001,1515.3199463,43
1285,1656.0300293,53.1659012,1517.6400146,43
1286,1650.2800293,54.5755005,1520.5000000,43
1287,1658.6999512,53.8960991,1523.0899658,43
1288,1658.3900146,52.3940010,1524.7099609,43
1289,1672.1300049,50.9136009,1525.5999756,43
1290,1681.9899902,51.6656990,1526.5000000,43
1291,1665.3699951,52.9126015,1527.6899414,43
1292,1673.0600586,51.7150993,1528.8800049,43
1293,1668.1400146,51.0186005,1529.5100098,43
